"","lon","lat","AOD","DQF","hour"
"665",-70.32717,43.450985,0.30079296342592,1,8
"916",-70.32976,43.421413,0.242927041494113,1,8
"917",-70.303474,43.421734,0.232855441157881,1,8
"921",-70.19837,43.42293,0.207218640302017,1,8
"1167",-70.332375,43.391575,0.326338204278727,1,8
"1170",-70.25359,43.392498,0.236243161270977,1,8
"1171",-70.22736,43.392605,0.322218004141178,1,8
"1172",-70.20107,43.393066,0.187899479657062,1,8
"1174",-70.148544,43.3936,0.232031401130371,1,8
"1420",-70.28253,43.36222,0.170411519073241,1,8
"1421",-70.256226,43.362854,0.203830920188921,1,8
"1422",-70.230034,43.36285,0.23642628127709,1,8
"1423",-70.203735,43.36342,0.232672321151767,1,8
"1424",-70.177536,43.3634,0.179842199388077,1,8
"1425",-70.15124,43.363983,0.243659521518566,1,8
"1670",-70.311295,43.33281,0.191287199770159,1,8
"1671",-70.28515,43.332577,0.207310200305074,1,8
"1673",-70.23268,43.333202,0.228643681017275,1,8
"1674",-70.206406,43.333775,0.204746520219487,1,8
"1675",-70.180214,43.33375,0.249977161729475,1,8
"1676",-70.15392,43.33434,0.17563043924747,1,8
"1921",-70.313896,43.30314,0.224340360873612,1,8
"1922",-70.287735,43.3031,0.320295244076988,1,8
"1923",-70.26147,43.30373,0.232763881154824,1,8
"1924",-70.2353,43.303726,0.252357721808949,1,8
"1925",-70.20903,43.3043,0.215733720586286,1,8
"2164",-70.52608,43.271008,0.222600720815535,1,8
"2165",-70.49988,43.271374,0.239630881384073,1,8
"2166",-70.47367,43.27172,0.21069792041817,1,8
"2168",-70.4213,43.27222,0.199436040042201,1,8
"2169",-70.395134,43.272335,0.203739360185864,1,8
"2170",-70.36892,43.272747,0.177644759314717,1,8
"2171",-70.34272,43.27307,0.207584880314243,1,8
"2172",-70.31651,43.273388,0.0979875566554256,1,8
"2173",-70.29034,43.273537,0.193576199846575,1,8
"2415",-70.528496,43.24175,0.206486160277564,1,8
"2416",-70.50231,43.242085,0.174440159207734,1,8
"2417",-70.47612,43.242466,0.231207361102861,1,8
"2418",-70.44998,43.242508,0.231024241096748,1,8
"2419",-70.423836,43.24263,0.20932452037232,1,8
"2420",-70.39768,43.24275,0.17617979926581,1,8
"2421",-70.37146,43.24327,0.202365960140014,1,8
"2667",-70.50481,43.212414,0.239081521365733,1,8
"2668",-70.47864,43.21277,0.258858482025971,1,8
"2670",-70.42632,43.21327,0.171510239109921,1,8
"2671",-70.400185,43.213383,0.263619602184917,1,8
"2922",-70.40269,43.184017,0.226537800946971,1,8
"3173",-70.40527,43.15416,0.234503521212901,1,8
"3418",-70.56443,43.123337,0.263894282194087,1,8
"3420",-70.51221,43.12387,0.23807436133211,1,8
"3668",-70.59297,43.093517,0.205112760231714,1,8
"3669",-70.56686,43.093895,0.203373120173637,1,8
