"","lon","lat","AOD","DQF","hour"
"165",-70.26936,43.510696,0.346206724942022,1,15
"167",-70.21672,43.51129,0.291820083126368,1,15
"169",-70.16408,43.511868,0.327162244306237,1,15
"170",-70.1377,43.512444,0.273324962508923,1,15
"171",-70.111374,43.51274,0.30408912353596,1,15
"172",-70.08506,43.51296,0.305370963578753,1,15
"173",-70.05873,43.51321,0.275705522588396,1,15
"174",-70.0324,43.513485,0.308392443679622,1,15
"175",-70.00608,43.51371,0.278452322680096,1,15
"414",-70.32458,43.480587,0.30079296342592,1,15
"415",-70.29827,43.480873,0.341994964801415,1,15
"416",-70.271996,43.481014,0.344558644887002,1,15
"417",-70.24566,43.481533,0.281565362784022,1,15
"419",-70.19305,43.482094,0.301983243465656,1,15
"420",-70.16676,43.48221,0.270211922404997,1,15
"421",-70.14043,43.48266,0.289347963043838,1,15
"422",-70.11412,43.482925,0.288066123001045,1,15
"423",-70.087814,43.483162,0.299877363395353,1,15
"424",-70.06151,43.483425,0.288157683004101,1,15
"425",-70.03516,43.4839,0.270578162417223,1,15
"426",-70.00885,43.484116,0.293742843190557,1,15
"665",-70.32717,43.450985,0.486751329633989,1,15
"666",-70.30088,43.4513,0.405171366910508,1,15
"669",-70.22209,43.45171,0.339614404721942,1,15
"670",-70.19575,43.4523,0.343002124835039,1,15
"671",-70.1695,43.452286,0.308117763670452,1,15
"672",-70.14316,43.45287,0.323682964190084,1,15
"673",-70.11687,43.453136,0.304638483554299,1,15
"674",-70.09057,43.453377,0.313519803850795,1,15
"675",-70.06428,43.453636,0.386859366299177,1,15
"676",-70.03794,43.454086,0.57382489254087,1,15
"677",-70.01165,43.454334,0.307568403652112,1,15
"916",-70.32976,43.421413,0.420553447424027,1,15
"917",-70.303474,43.421734,0.532714451168431,1,15
"922",-70.172134,43.422913,0.336684484624129,1,15
"923",-70.14586,43.42319,0.327803164327634,1,15
"924",-70.11958,43.42346,0.322309564144234,1,15
"925",-70.09331,43.423706,0.344100844871718,1,15
"926",-70.067024,43.423958,0.322584244153404,1,15
"927",-70.04071,43.42441,0.405903846934962,1,15
"1167",-70.332375,43.391575,0.378802086030191,1,15
"1168",-70.30612,43.39186,0.442527848157624,1,15
"1417",-70.36122,43.361576,0.29996892339841,1,15
"1418",-70.33498,43.361923,0.364427165550296,1,15
"1419",-70.30872,43.362213,0.335127964572166,1,15
"1667",-70.39002,43.331627,0.355362725247687,1,15
"1668",-70.36376,43.332153,0.29996892339841,1,15
"1669",-70.337524,43.33247,0.330549964419333,1,15
"1670",-70.311295,43.33281,0.29996892339841,1,15
"1914",-70.49738,43.300987,0.270761282423337,1,15
"1915",-70.47117,43.301346,0.319013404034195,1,15
"1916",-70.44498,43.3015,0.294200643205841,1,15
"1917",-70.41877,43.301834,0.322126444138121,1,15
"1918",-70.392586,43.301952,0.324873244229821,1,15
"1919",-70.36634,43.302475,0.363877805531956,1,15
"1920",-70.340126,43.3028,0.364976525568636,1,15
"1921",-70.313896,43.30314,0.396198486610956,1,15
"1922",-70.287735,43.3031,0.371477285785659,1,15
"2164",-70.52608,43.271008,0.313794483859965,1,15
"2165",-70.49988,43.271374,0.308484003682679,1,15
"2166",-70.47367,43.27172,0.269754122389713,1,15
"2169",-70.395134,43.272335,0.259041602032084,1,15
"2170",-70.36892,43.272747,0.39445884655288,1,15
"2171",-70.34272,43.27307,0.273050282499753,1,15
"2172",-70.31651,43.273388,0.424948327570746,1,15
"2173",-70.29034,43.273537,0.524931850908615,1,15
"2174",-70.26411,43.273983,0.275888642594509,1,15
"2175",-70.23794,43.274086,0.363053765504446,1,15
"2415",-70.528496,43.24175,0.380541726088268,1,15
"2416",-70.50231,43.242085,0.380083926072984,1,15
"2417",-70.47612,43.242466,0.310223643740756,1,15
"2418",-70.44998,43.242508,0.276895802628133,1,15
"2419",-70.423836,43.24263,0.406636326959415,1,15
"2420",-70.39768,43.24275,0.418905367369007,1,15
"2421",-70.37146,43.24327,0.381640446124948,1,15
"2422",-70.345276,43.243595,0.258675362019858,1,15
"2423",-70.319084,43.24391,0.30326508350845,1,15
"2425",-70.266716,43.244507,0.35911668537301,1,15
"2426",-70.24057,43.244503,0.36021540540969,1,15
"2666",-70.53098,43.212048,0.303448203514563,1,15
"2667",-70.50481,43.212414,0.407551926989981,1,15
"2668",-70.47864,43.21277,0.27259248248447,1,15
"2669",-70.45249,43.212925,0.29667276328837,1,15
"2670",-70.42632,43.21327,0.419271607381233,1,15
"2671",-70.400185,43.213383,0.295757163257804,1,15
"2672",-70.374,43.213795,0.311139243771322,1,15
"2673",-70.34783,43.214092,0.312878883829399,1,15
"2674",-70.32168,43.21425,0.29996892339841,1,15
"2675",-70.295555,43.214256,0.458642408695596,1,15
"2676",-70.26934,43.214813,0.39198672647035,1,15
"2677",-70.24322,43.214813,0.346481404951192,1,15
"2917",-70.533424,43.1826,0.246955681628606,1,15
"2918",-70.50727,43.182938,0.252174601802835,1,15
"2919",-70.48112,43.18329,0.390796446430613,1,15
"2920",-70.45499,43.183445,0.258309122007631,1,15
"2921",-70.42883,43.18379,0.246223201604153,1,15
"2922",-70.40269,43.184017,0.240363361408527,1,15
"2923",-70.37652,43.18443,0.234961321228184,1,15
"2924",-70.350365,43.184757,0.263253362172691,1,15
"2925",-70.324196,43.185074,0.276529562615906,1,15
"2926",-70.29808,43.185085,0.319837444061704,1,15
"2927",-70.27188,43.185642,0.443260328182078,1,15
"3168",-70.5359,43.152958,0.256203241937328,1,15
"3169",-70.50976,43.15332,0.383746326195251,1,15
"3170",-70.48362,43.15368,0.398945286702656,1,15
"3171",-70.45752,43.15372,0.381640446124948,1,15
"3172",-70.43138,43.154037,0.272409362478356,1,15
"3173",-70.40527,43.15416,0.23917308136879,1,15
"3174",-70.3791,43.15468,0.274332122542546,1,15
"3175",-70.35295,43.155006,0.292003203132481,1,15
"3176",-70.326805,43.155327,0.294200643205841,1,15
"3177",-70.300705,43.155334,0.339339724712772,1,15
"3178",-70.27452,43.155922,0.435019927906978,1,15
"3179",-70.24842,43.155922,0.385119726241101,1,15
"3418",-70.56443,43.123337,0.29996892339841,1,15
"3419",-70.538345,43.12351,0.246864121625549,1,15
"3420",-70.51221,43.12387,0.242103001466603,1,15
"3421",-70.486084,43.12423,0.407826606999151,1,15
"3422",-70.46,43.12428,0.376787765962945,1,15
"3423",-70.433876,43.1246,0.270761282423337,1,15
"3424",-70.407776,43.124744,0.394916646568163,1,15
"3425",-70.38162,43.125237,0.250801201756985,1,15
"3426",-70.35549,43.125565,0.394550406555936,1,15
"3427",-70.32936,43.125885,0.281748482790135,1,15
"3428",-70.30326,43.126003,0.332472724483523,1,15
"3429",-70.2771,43.126453,0.406270086947188,1,15
"3668",-70.59297,43.093517,0.386126886274724,1,15
"3669",-70.56686,43.093895,0.263344922175747,1,15
"3670",-70.5408,43.093903,0.399677766727109,1,15
"3671",-70.51469,43.094265,0.246955681628606,1,15
"3672",-70.48858,43.09462,0.394092606540653,1,15
"3673",-70.462494,43.094784,0.385028166238044,1,15
"3674",-70.4364,43.094963,0.282572522817645,1,15
"3675",-70.41029,43.095272,0.282755642823759,1,15
"3676",-70.38417,43.09563,0.390704886427557,1,15
"3677",-70.35806,43.095932,0.409016887038888,1,15
"3678",-70.33194,43.096252,0.305370963578753,1,15
"3679",-70.305855,43.096375,0.245307601573586,1,15
"3919",-70.595345,43.06429,0.255745441922045,1,15
"3922",-70.517136,43.064854,0.371294165779545,1,15
"3923",-70.491035,43.065205,0.237616561316827,1,15
"3924",-70.46497,43.065342,0.24246924147883,1,15
"3925",-70.438866,43.065712,0.253731121854798,1,15
"3926",-70.41277,43.065968,0.258400682010688,1,15
"3927",-70.38667,43.066357,0.257668201986235,1,15
"3928",-70.36057,43.066654,0.268106042334693,1,15
"3929",-70.334465,43.066975,0.287608322985761,1,15
"3930",-70.30841,43.06699,0.272134682469186,1,15
"4169",-70.62385,43.03436,0.401325846782129,1,15
"4170",-70.59777,43.034714,0.249336241708079,1,15
"4172",-70.545654,43.035126,0.404164206876885,1,15
"4173",-70.51957,43.035465,0.402241446812695,1,15
"4174",-70.49349,43.035828,0.287699882988818,1,15
"4175",-70.46745,43.03587,0.27314184250281,1,15
"4176",-70.44137,43.03619,0.406544766956358,1,15
"4177",-70.4153,43.03645,0.395649126592616,1,15
"4178",-70.3892,43.036865,0.241004281429923,1,15
"4179",-70.36312,43.03714,0.253731121854798,1,15
"4180",-70.33703,43.037464,0.271676882453903,1,15
"4181",-70.310974,43.037582,0.307659963655169,1,15
"4182",-70.28485,43.038063,0.281016002765682,1,15
"4418",-70.67829,43.004684,0.250434961744759,1,15
"4419",-70.65222,43.005077,0.409291567048058,1,15
"4420",-70.626205,43.005135,0.290538243083574,1,15
"4423",-70.54807,43.00577,0.247779721656116,1,15
"4424",-70.52201,43.00608,0.256203241937328,1,15
"4425",-70.49594,43.00644,0.27066972242028,1,15
"4426",-70.469894,43.0066,0.249885601726419,1,15
"4427",-70.44383,43.00692,0.396381606617069,1,15
"4428",-70.41778,43.00718,0.280741322756512,1,15
"4429",-70.391685,43.007595,0.257485081980121,1,15
"4430",-70.36562,43.00787,0.281382242777909,1,15
"4431",-70.33955,43.00819,0.252540841815062,1,15
"4432",-70.31352,43.0082,0.283396562845155,1,15
"4433",-70.2874,43.008762,0.293101923169161,1,15
"4434",-70.261375,43.008766,0.290629803086631,1,15
"4668",-70.70664,42.9752,0.378527406021021,1,15
"4669",-70.68063,42.975323,0.262520882148237,1,15
"4670",-70.65459,42.975716,0.259499402047368,1,15
"4671",-70.62856,42.975887,0.403797966864659,1,15
"4673",-70.576454,42.976643,0.269937242395827,1,15
"4674",-70.550446,42.97669,0.274423682545603,1,15
"4675",-70.5244,42.977028,0.401783646797412,1,15
"4676",-70.49834,42.977386,0.255928561928158,1,15
"4677",-70.47237,42.97719,0.252632401818119,1,15
"4678",-70.44631,42.97754,0.257942881995405,1,15
"4679",-70.420265,42.977795,0.288707043022441,1,15
"4680",-70.394196,42.97819,0.374040965871245,1,15
"4681",-70.36814,42.97851,0.310223643740756,1,15
"4682",-70.34208,42.97881,0.26764824231941,1,15
"4683",-70.31607,42.978825,0.287974562997988,1,15
"4684",-70.28997,42.97938,0.505246450251434,1,15
"4685",-70.263954,42.97939,0.316449723948608,1,15
"4686",-70.23784,42.98002,0.41908848737512,1,15
"4919",-70.708984,42.945763,0.39445884655288,1,15
"4920",-70.682976,42.94597,0.383288526179967,1,15
"4922",-70.63098,42.946262,0.396106926607899,1,15
"4923",-70.604935,42.946613,0.253914241860912,1,15
"4924",-70.5789,42.946995,0.384295686213591,1,15
"4925",-70.5529,42.94706,0.397388766650693,1,15
"4926",-70.52687,42.947403,0.390247086412273,1,15
"4927",-70.50083,42.947735,0.269662562386657,1,15
"4928",-70.47482,42.94787,0.259682522053481,1,15
"4929",-70.44878,42.94819,0.395466006586503,1,15
"4930",-70.422745,42.94845,0.283854362860438,1,15
"4931",-70.39669,42.948864,0.389972406403103,1,15
"4932",-70.37065,42.949165,0.252815521824232,1,15
"4933",-70.344604,42.949463,0.256111681934271,1,15
"4934",-70.31861,42.94948,0.303356643511506,1,15
"4935",-70.29253,42.950043,0.376146845941548,1,15
"4936",-70.26652,42.950043,0.42156060745765,1,15
"4937",-70.240425,42.950645,0.402882366834092,1,15
"5169",-70.73731,42.916187,0.273874322527263,1,15
"5170",-70.711296,42.91652,0.400868046766846,1,15
"5171",-70.68532,42.916645,0.267282002307184,1,15
"5172",-70.659294,42.917038,0.400959606769902,1,15
"5173",-70.6333,42.91721,0.263711162187974,1,15
"5174",-70.60727,42.91759,0.236609401283204,1,15
"5175",-70.581245,42.917965,0.400044006739336,1,15
"5176",-70.555275,42.917984,0.261879962126841,1,15
"5177",-70.52929,42.918053,0.38621844627778,1,15
"5178",-70.50327,42.91838,0.274423682545603,1,15
"5179",-70.477264,42.91854,0.26874696235609,1,15
"5180",-70.45124,42.918865,0.266457962279674,1,15
"5181",-70.42523,42.919094,0.318189364006685,1,15
"5182",-70.399185,42.91954,0.272684042487526,1,15
"5183",-70.37316,42.919815,0.299602683386183,1,15
"5184",-70.34713,42.920113,0.289897323062178,1,15
