"","lon","lat","AOD","DQF","hour"
"165",-70.26936,43.510696,0.14990207838855,0,13
"167",-70.21672,43.51129,0.067223395628389,0,13
"169",-70.16408,43.511868,0.14990207838855,0,13
"170",-70.1377,43.512444,0.139372678037034,0,13
"171",-70.111374,43.51274,0.145598758244887,0,13
"172",-70.08506,43.51296,0.137083677960618,0,13
"173",-70.05873,43.51321,0.17480639921996,0,13
"174",-70.0324,43.513485,0.149810518385493,0,13
"414",-70.32458,43.480587,0.0865425562733435,0,13
"415",-70.29827,43.480873,0.149444278373267,0,13
"416",-70.271996,43.481014,0.14962739837938,0,13
"417",-70.24566,43.481533,0.0999103167196154,0,13
"419",-70.19305,43.482094,0.138914878021751,0,13
"420",-70.16676,43.48221,0.14990207838855,0,13
"421",-70.14043,43.48266,0.14990207838855,0,13
"422",-70.11412,43.482925,0.149535838376323,0,13
"423",-70.087814,43.483162,0.14990207838855,0,13
"424",-70.06151,43.483425,0.149810518385493,0,13
"425",-70.03516,43.4839,0.149810518385493,0,13
"665",-70.32717,43.450985,0.27286716249364,0,13
"666",-70.30088,43.4513,0.14907803836104,0,13
"668",-70.24833,43.451717,0.0942335965301027,0,13
"669",-70.22209,43.45171,0.108150716994714,0,13
"670",-70.19575,43.4523,0.0998187567165587,0,13
"671",-70.1695,43.452286,0.0998187567165587,0,13
"672",-70.14316,43.45287,0.0998187567165587,0,13
"673",-70.11687,43.453136,0.14935271837021,0,13
"674",-70.09057,43.453377,0.14990207838855,0,13
"675",-70.06428,43.453636,0.194125559864915,0,13
"676",-70.03794,43.454086,0.110531277074188,0,13
"677",-70.01165,43.454334,0.138640198012581,0,13
"916",-70.32976,43.421413,0.149535838376323,0,13
"917",-70.303474,43.421734,0.149169598364097,0,13
"918",-70.27725,43.421738,0.149261158367153,0,13
"919",-70.25092,43.422344,0.170594639079354,0,13
"920",-70.22469,43.422363,0.112179357129207,0,13
"921",-70.19837,43.42293,0.140929198088998,0,13
"922",-70.172134,43.422913,0.234961321228184,0,13
"923",-70.14586,43.42319,0.140105158061488,0,13
"924",-70.11958,43.42346,0.0999103167196154,0,13
"925",-70.09331,43.423706,0.14880335835187,0,13
"926",-70.067024,43.423958,0.209965440393717,0,13
"927",-70.04071,43.42441,0.149718958382437,0,13
"928",-70.014435,43.424637,0.199069800029974,0,13
"1167",-70.332375,43.391575,0.149169598364097,0,13
"1168",-70.30612,43.39186,0.14935271837021,0,13
"1169",-70.27989,43.39198,0.149535838376323,0,13
"1170",-70.25359,43.392498,0.149810518385493,0,13
"1171",-70.22736,43.392605,0.0998187567165587,0,13
"1172",-70.20107,43.393066,0.0999103167196154,0,13
"1173",-70.17484,43.393154,0.245399161576643,0,13
"1174",-70.148544,43.3936,0.153381358504703,0,13
"1179",-70.017166,43.39521,0.149169598364097,0,13
"1417",-70.36122,43.361576,0.149810518385493,0,13
"1418",-70.33498,43.361923,0.14990207838855,0,13
"1419",-70.30872,43.362213,0.14935271837021,0,13
"1420",-70.28253,43.36222,0.149444278373267,0,13
"1421",-70.256226,43.362854,0.14962739837938,0,13
"1422",-70.230034,43.36285,0.0999103167196154,0,13
"1423",-70.203735,43.36342,0.0998187567165587,0,13
"1424",-70.177536,43.3634,0.0996356367104454,0,13
"1425",-70.15124,43.363983,0.125180877563253,0,13
