"","lon","lat","AOD","DQF","hour"
"169",-70.16408,43.511868,0.170319959070184,0,10
"170",-70.1377,43.512444,0.140562958076771,0,10
"171",-70.111374,43.51274,0.129209517697745,0,10
"172",-70.08506,43.51296,0.135801837917825,0,10
"414",-70.32458,43.480587,0.168946559024334,0,10
"415",-70.29827,43.480873,0.196780799953558,0,10
"416",-70.271996,43.481014,0.176546039278037,0,10
"417",-70.24566,43.481533,0.156585958611686,0,10
"419",-70.19305,43.482094,0.110989077089471,0,10
"420",-70.16676,43.48221,0.127744557648839,0,10
"421",-70.14043,43.48266,0.120694437413476,0,10
"422",-70.11412,43.482925,0.179384399372793,0,10
"423",-70.087814,43.483162,0.171968039125204,0,10
"424",-70.06151,43.483425,0.14880335835187,0,10
"425",-70.03516,43.4839,0.149993638391607,0,10
"426",-70.00885,43.484116,0.204288720204204,0,10
"665",-70.32717,43.450985,0.324415444214537,0,10
"666",-70.30088,43.4513,0.162079558795085,0,10
"668",-70.24833,43.451717,0.180116879397247,0,10
"669",-70.22209,43.45171,0.204197160201147,0,10
"670",-70.19575,43.4523,0.157226878633082,0,10
"671",-70.1695,43.452286,0.141570118110394,0,10
"672",-70.14316,43.45287,0.245032921564416,0,10
"673",-70.11687,43.453136,0.217564920647419,0,10
"675",-70.06428,43.453636,0.173524559177167,0,10
"676",-70.03794,43.454086,0.194858039889368,0,10
"677",-70.01165,43.454334,0.196689239950501,0,10
"916",-70.32976,43.421413,0.14990207838855,0,10
"917",-70.303474,43.421734,0.14550719824183,0,10
"918",-70.27725,43.421738,0.176088239262754,0,10
"919",-70.25092,43.422344,0.18002531939419,0,10
"920",-70.22469,43.422363,0.195773639919935,0,10
"921",-70.19837,43.42293,0.177095399296377,0,10
"922",-70.172134,43.422913,0.161804878785915,0,10
"1167",-70.332375,43.391575,0.169679039048788,0,10
"1168",-70.30612,43.39186,0.169587479045731,0,10
"1170",-70.25359,43.392498,0.105403916903015,0,10
"1171",-70.22736,43.392605,0.116299557266757,0,10
"1172",-70.20107,43.393066,0.132322557801672,0,10
"1173",-70.17484,43.393154,0.214543440546549,0,10
"1417",-70.36122,43.361576,0.164093878862332,0,10
"1418",-70.33498,43.361923,0.145873438254057,0,10
"1419",-70.30872,43.362213,0.130949157755822,0,10
"1420",-70.28253,43.36222,0.231482041112031,0,10
"1421",-70.256226,43.362854,0.240363361408527,0,10
"1422",-70.230034,43.36285,0.147887758321303,0,10
"1423",-70.203735,43.36342,0.136808997951448,0,10
"1424",-70.177536,43.3634,0.208958280360093,0,10
"1667",-70.39002,43.331627,0.137999277991184,0,10
"1668",-70.36376,43.332153,0.138365518003411,0,10
"1669",-70.337524,43.33247,0.170228399067128,0,10
"1670",-70.311295,43.33281,0.11675735728204,0,10
"1671",-70.28515,43.332577,0.168397199005994,0,10
"1672",-70.258865,43.333206,0.170777759085468,0,10
"1914",-70.49738,43.300987,0.135252477899485,0,10
"1915",-70.47117,43.301346,0.142119478128734,0,10
"1916",-70.44498,43.3015,0.128477037673292,0,10
"1917",-70.41877,43.301834,0.146239678266284,0,10
