"","lon","lat","AOD","DQF","hour"
"171",-70.111374,43.51274,0.301983243465656,1,7
"421",-70.14043,43.48266,0.33091620443156,1,7
"423",-70.087814,43.483162,0.293010363166104,1,7
"424",-70.06151,43.483425,0.453515048524423,1,7
"916",-70.32976,43.421413,0.309399603713246,1,7
"917",-70.303474,43.421734,0.42128592744848,1,7
"1167",-70.332375,43.391575,0.424124287543236,1,7
"1170",-70.25359,43.392498,0.337050724636356,1,7
"1171",-70.22736,43.392605,0.393817926531483,1,7
"1418",-70.33498,43.361923,0.281473802780965,1,7
"1419",-70.30872,43.362213,0.402149886809639,1,7
"1420",-70.28253,43.36222,0.355728965259914,1,7
"1421",-70.256226,43.362854,0.348312605012325,1,7
"1422",-70.230034,43.36285,0.455804048600839,1,7
"1669",-70.337524,43.33247,0.265908602261334,1,7
"1670",-70.311295,43.33281,0.408559087023605,1,7
"1671",-70.28515,43.332577,0.427512007656333,1,7
"1672",-70.258865,43.333206,0.275797082591453,1,7
"1917",-70.41877,43.301834,0.312878883829399,1,7
"1919",-70.36634,43.302475,0.442710968163738,1,7
"1921",-70.313896,43.30314,0.414327367216174,1,7
"1922",-70.287735,43.3031,0.408925327035831,1,7
"2165",-70.49988,43.271374,0.288249243007158,1,7
"2166",-70.47367,43.27172,0.412587727158098,1,7
"2168",-70.4213,43.27222,0.373308485846792,1,7
"2169",-70.395134,43.272335,0.405262926913565,1,7
"2170",-70.36892,43.272747,0.249794041723362,1,7
"2171",-70.34272,43.27307,0.436942687971168,1,7
"2415",-70.528496,43.24175,0.283579682851268,1,7
"2416",-70.50231,43.242085,0.297679923321994,1,7
"2417",-70.47612,43.242466,0.279459482713719,1,7
"2418",-70.44998,43.242508,0.362321285479993,1,7
"2419",-70.423836,43.24263,0.364701845559466,1,7
"2420",-70.39768,43.24275,0.385302846247214,1,7
"2666",-70.53098,43.212048,0.39198672647035,1,7
"2667",-70.50481,43.212414,0.445457768255437,1,7
"2668",-70.47864,43.21277,0.291362283111084,1,7
"2669",-70.45249,43.212925,0.362779085495276,1,7
"2670",-70.42632,43.21327,0.366075245605316,1,7
"2917",-70.533424,43.1826,0.269937242395827,1,7
"2918",-70.50727,43.182938,0.416982607304817,1,7
"2919",-70.48112,43.18329,0.286509602949081,1,7
"2920",-70.45499,43.183445,0.29996892339841,1,7
"2921",-70.42883,43.18379,0.33256428448658,1,7
"3168",-70.5359,43.152958,0.294017523199727,1,7
"3169",-70.50976,43.15332,0.305920323597093,1,7
"3170",-70.48362,43.15368,0.26545080224605,1,7
"3171",-70.45752,43.15372,0.338241004676092,1,7
"3172",-70.43138,43.154037,0.306195003606263,1,7
"3418",-70.56443,43.123337,0.384570366222761,1,7
"3419",-70.538345,43.12351,0.418356007350667,1,7
"3420",-70.51221,43.12387,0.381182646109664,1,7
"3421",-70.486084,43.12423,0.30326508350845,1,7
"3422",-70.46,43.12428,0.314710083890532,1,7
"3423",-70.433876,43.1246,0.302074803468713,1,7
"3668",-70.59297,43.093517,0.425863927601313,1,7
"3669",-70.56686,43.093895,0.296031843266974,1,7
"3670",-70.5408,43.093903,0.253731121854798,1,7
"3671",-70.51469,43.094265,0.379717686060758,1,7
"3672",-70.48858,43.09462,0.382098246140231,1,7
"3673",-70.462494,43.094784,0.345932044932852,1,7
"3674",-70.4364,43.094963,0.315351003911928,1,7
"3919",-70.595345,43.06429,0.414602047225344,1,7
"3921",-70.54318,43.064816,0.412953967170324,1,7
"3922",-70.517136,43.064854,0.306927483630716,1,7
"3923",-70.491035,43.065205,0.287425202979648,1,7
"3924",-70.46497,43.065342,0.36268752549222,1,7
"3925",-70.438866,43.065712,0.301525443450373,1,7
"4169",-70.62385,43.03436,0.295024683233351,1,7
"4170",-70.59777,43.034714,0.411946807136701,1,7
"4171",-70.571686,43.035088,0.42183528746682,1,7
"4172",-70.545654,43.035126,0.29969424338924,1,7
"4173",-70.51957,43.035465,0.286967402964365,1,7
"4174",-70.49349,43.035828,0.27286716249364,1,7
"4175",-70.46745,43.03587,0.341354044780019,1,7
"4176",-70.44137,43.03619,0.360856325431087,1,7
"4418",-70.67829,43.004684,0.300426723413693,1,7
"4419",-70.65222,43.005077,0.290446683080518,1,7
"4420",-70.626205,43.005135,0.321851764128951,1,7
"4422",-70.5741,43.005703,0.305737203590979,1,7
"4424",-70.52201,43.00608,0.276529562615906,1,7
"4425",-70.49594,43.00644,0.380999526103551,1,7
"4426",-70.469894,43.0066,0.3259719642665,1,7
"4427",-70.44383,43.00692,0.32762004432152,1,7
"4673",-70.576454,42.976643,0.383563206189137,1,7
"4923",-70.604935,42.946613,0.288798603025498,1,7
"4924",-70.5789,42.946995,0.290812923092744,1,7
"4925",-70.5529,42.94706,0.429617887726636,1,7
"5173",-70.6333,42.91721,0.457635248661973,1,7
"5174",-70.60727,42.91759,0.414235807213117,1,7
"5175",-70.581245,42.917965,0.29996892339841,1,7
"5423",-70.66168,42.88744,0.340438444749452,1,7
"5424",-70.6357,42.887634,0.338515684685262,1,7
"5425",-70.60969,42.887993,0.455346248585556,1,7
"6424",-70.7488,42.76971,0.338790364694432,1,7
"6425",-70.722855,42.770115,0.373674725859019,1,7
"6426",-70.696945,42.77017,0.352341245146818,1,7
"6427",-70.671,42.77056,0.349045085036778,1,7
"6676",-70.72514,42.740936,0.386950926302234,1,7
"6677",-70.699234,42.741123,0.403614846858545,1,7
"8437",-70.63774,42.5382,0.378618966024078,1,7
"8682",-70.79491,42.50759,0.309491163716302,1,7
"8683",-70.76912,42.507683,0.320844604095328,1,7
"8689",-70.61424,42.509396,0.345291124911455,1,7
"8933",-70.79711,42.47867,0.352982165168214,1,7
"8934",-70.77133,42.478848,0.346298284945078,1,7
"8935",-70.74552,42.479233,0.352524365152931,1,7
"8936",-70.71975,42.47931,0.36296220550139,1,7
"8938",-70.66816,42.47986,0.317548443985288,1,7
"8939",-70.64234,42.48023,0.410939647103078,1,7
