"","lon","lat","AOD","DQF","hour"
"170",-70.1377,43.512444,0.318647164021968,1,7
"420",-70.16676,43.48221,0.3259719642665,1,7
"421",-70.14043,43.48266,0.352066565137648,1,7
"422",-70.11412,43.482925,0.277445162646472,1,7
"423",-70.087814,43.483162,0.303356643511506,1,7
"424",-70.06151,43.483425,0.308300883676566,1,7
"675",-70.06428,43.453636,0.326063524269557,1,7
"917",-70.303474,43.421734,0.333846124529373,1,7
"1167",-70.332375,43.391575,0.438224528013961,1,7
"1168",-70.30612,43.39186,0.459832688735332,1,7
"1170",-70.25359,43.392498,0.366166805608373,1,7
"1418",-70.33498,43.361923,0.315808803927212,1,7
"1419",-70.30872,43.362213,0.447746768331854,1,7
"1420",-70.28253,43.36222,0.265084562233824,1,7
"1421",-70.256226,43.362854,0.269113202368317,1,7
"1668",-70.36376,43.332153,0.378985206036305,1,7
"1669",-70.337524,43.33247,0.450951368438837,1,7
"1670",-70.311295,43.33281,0.434928367903922,1,7
"1671",-70.28515,43.332577,0.370653245758149,1,7
"1672",-70.258865,43.333206,0.438590768026188,1,7
"1919",-70.36634,43.302475,0.473749809199944,1,7
"1920",-70.340126,43.3028,0.251259001772269,1,7
"1921",-70.313896,43.30314,0.458550848692539,1,7
"1922",-70.287735,43.3031,0.351517205119308,1,7
"2166",-70.47367,43.27172,0.431449087787769,1,7
"2168",-70.4213,43.27222,0.449944208405213,1,7
"2169",-70.395134,43.272335,0.26984568239277,1,7
"2170",-70.36892,43.272747,0.373400045849849,1,7
"2171",-70.34272,43.27307,0.343002124835039,1,7
"2415",-70.528496,43.24175,0.29804616333422,1,7
"2417",-70.47612,43.242466,0.261147482102388,1,7
"2418",-70.44998,43.242508,0.345108004905342,1,7
"2419",-70.423836,43.24263,0.437125807977282,1,7
"2420",-70.39768,43.24275,0.383837886198307,1,7
"2666",-70.53098,43.212048,0.29996892339841,1,7
"2667",-70.50481,43.212414,0.313886043863022,1,7
"2668",-70.47864,43.21277,0.291820083126368,1,7
"2669",-70.45249,43.212925,0.209782320387603,1,7
"2670",-70.42632,43.21327,0.401875206800469,1,7
"2917",-70.533424,43.1826,0.335494204584393,1,7
"2918",-70.50727,43.182938,0.30134232344426,1,7
"2919",-70.48112,43.18329,0.385577526256384,1,7
"2920",-70.45499,43.183445,0.357834845330217,1,7
"2921",-70.42883,43.18379,0.406819446965528,1,7
"3168",-70.5359,43.152958,0.32789472433069,1,7
"3169",-70.50976,43.15332,0.316999083966948,1,7
"3170",-70.48362,43.15368,0.402607686824922,1,7
"3171",-70.45752,43.15372,0.345565804920625,1,7
"3172",-70.43138,43.154037,0.404255766879942,1,7
"3418",-70.56443,43.123337,0.311505483783549,1,7
"3419",-70.538345,43.12351,0.418996927372064,1,7
"3420",-70.51221,43.12387,0.292461003147764,1,7
"3421",-70.486084,43.12423,0.356736125293537,1,7
"3422",-70.46,43.12428,0.30271572349011,1,7
"3423",-70.433876,43.1246,0.346115164938965,1,7
"3668",-70.59297,43.093517,0.291087603101914,1,7
"3669",-70.56686,43.093895,0.302624163487053,1,7
"3670",-70.5408,43.093903,0.315167883905815,1,7
"3671",-70.51469,43.094265,0.309765843725472,1,7
"3672",-70.48858,43.09462,0.433097167842789,1,7
"3673",-70.462494,43.094784,0.355545845253801,1,7
"3674",-70.4364,43.094963,0.341354044780019,1,7
"3919",-70.595345,43.06429,0.443351888185134,1,7
"3921",-70.54318,43.064816,0.310406763746869,1,7
"3922",-70.517136,43.064854,0.328627204355143,1,7
"3923",-70.491035,43.065205,0.377062445972115,1,7
"3924",-70.46497,43.065342,0.360947885434143,1,7
"3925",-70.438866,43.065712,0.340072204737226,1,7
"4169",-70.62385,43.03436,0.313977603866078,1,7
"4170",-70.59777,43.034714,0.29722212330671,1,7
"4171",-70.571686,43.035088,0.338698804691376,1,7
"4172",-70.545654,43.035126,0.296764323291427,1,7
"4173",-70.51957,43.035465,0.327711604324577,1,7
"4174",-70.49349,43.035828,0.409200007045001,1,7
"4175",-70.46745,43.03587,0.431265967781655,1,7
"4176",-70.44137,43.03619,0.339339724712772,1,7
"4418",-70.67829,43.004684,0.310315203743812,1,7
"4419",-70.65222,43.005077,0.319837444061704,1,7
"4420",-70.626205,43.005135,0.319562764052534,1,7
"4421",-70.600136,43.00552,0.305645643587923,1,7
"4422",-70.5741,43.005703,0.39116268644284,1,7
"4423",-70.54807,43.00577,0.435660847928375,1,7
"4424",-70.52201,43.00608,0.306103443603206,1,7
"4425",-70.49594,43.00644,0.372209765810112,1,7
